ID,school_no,location_no,school_name,district,joining_kg_edu_scheme,received_grant_for_support_to_ncs_students,address,school_category,student_category,tel,fax,school_website,total_no_of_permitted_accommodationof_classrooms_in_use,TotalEnrollment2023,no_for_enrolment_aged_2_to_3,map_latitude,map_longitude
K_076,548278,2,LEI YUE MUN METHODIST KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, LEI HING HOUSE, LEI YUE MUN ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,3417 7010,3417 7013,http://www.lymmkg.edu.hk,236,129,0,22.29424664,114.2398742
K_077,550663,1,PEACE EVANGELICAL CENTRE KINDERGARTEN (NGAU TAU KOK),Kwun Tong,Joining,Y,"G/F, SHEUNG MUN HOUSE, UPPER NGAU TAU KOK ESTATE, PHASE I, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2776 9285,2776 8913,http://www.peck.edu.hk/ngautaukok/,165,147,0,22.31918729,114.2175035
K_078,550892,1,JING JING KINDERGARTEN (SHUN LEE BRANCH),Kwun Tong,Joining,Y,"SHOP 15A, PODIUM LEVEL 2, SHUN LEE DISCIPLINED SERVICES QUARTERS 32 LEE ON ROAD, KOWLOON",Non-profit-making,Co-educational,3409 4481,3409 4491,http://www.jingjing.edu.hk,174,65,33,22.3324701,114.2219822
K_079,563455,1,BGCAHK CHEERLAND KINDERGARTEN (KOWLOON BAY),Kwun Tong,Joining,N,"SHOP 11-13, G/F CHEVALIER COMMERCIAL CENTRE, 8 WANG HOI ROAD, KOWLOON BAY, KOWLOON",Non-profit-making,Co-educational,2796 2122,2755 1355,http://nursery.bgca.org.hk,91,73,26,22.34306848,114.1926007
K_080,563510,1,ST VINCENT DE PAUL NURSERY SCHOOL,Kwun Tong,Joining,N,"2/F, BO FUNG BUILDING, 5 HORSE SHOE LANE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2389 3228,2389 7610,http://www.svpdn.edu.hk,87,53,15,22.31477913,114.2221609
K_081,563536,1,TWGHS CHAN HAN NURSERY SCHOOL,Kwun Tong,Joining,Y,"ROOM 2, G/F, SAU FU HOUSE, SAU MAU PING (I) ESTATE, SAU MAU PING, KOWLOON",Non-profit-making,Co-educational,2340 5982,2772 3599,http://chns.tungwahcsd.org,83,65,14,22.31675369,114.232275
K_082,563609,1,NEW KOWLOON WOMEN ASSOCIATION LOK WAH NURSERY,Kwun Tong,Joining,N,"5/F, LOK WAH ESTATE COMMUNITY CENTRE, CHUN WAH ROAD, NGAU TAU KOK, KOWLOON",Non-profit-making,Co-educational,2796 2535,2796 2574,http://www.newklnwa.edu.hk,80,34,14,22.32032376,114.2226965
K_083,563730,1,PO LEUNG KUK NG PO LING KINDERGARTEN,Kwun Tong,Joining,N,"UNIT 21-34, PODIUM LEVEL, TSUI TO HOUSE, TSUI PING ESTATE, TSUI PING ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2727 1405,2349 7153,https://www.poleungkuk.org.hk/child-care-services/nplkgn/school-info,108,73,16,22.3158334,114.2297705
K_084,563749,1,TSUNG TSIN MISSION OF HONG KONG ON YEE NURSERY SCHOOL,Kwun Tong,Joining,N,"G/F, KO SHING HOUSE, KO YEE ESTATE, YAU TONG, KOWLOON",Non-profit-making,Co-educational,2727 6468,2775 2583,https://oe.ttmssd.org/,92,78,16,22.2969283,114.2409623
K_085,563790,1,PO LEUNG KUK KIM HUYNH KINDERGARTEN,Kwun Tong,Joining,N,"G/F, 125-132, WONG SHEK HOUSE, PING SHEK ESTATE, KOWLOON",Non-profit-making,Co-educational,2320 6671,2321 4219,https://www.poleungkuk.org.hk/child-care-services/khkgn/school-info,82,78,16,22.33217514,114.2092273
K_086,563935,1,PO LEUNG KUK LEE SIU CHAN KINDERGARTEN,Kwun Tong,Joining,N,"5/F, SHUN LEE ESTATE COMMUNITY CENTRE, SHUN LEE ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2343 9038,2950 9498,https://www.poleungkuk.org.hk/child-care-services/lsckgn/school-info,94,70,13,22.33161065,114.2272333
K_087,563951,1,PO LEUNG KUK CHENG KWAN HOW YIN KINDERGARTEN,Kwun Tong,Joining,N,"UNIT 2, 1/F, TAK HONG HOUSE, TAK TIN ESTATE, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2709 2280,2709 1860,https://www.poleungkuk.org.hk/child-care-services/ckhykgn,118,80,11,22.30819922,114.2391332
K_088,564036,1,POK OI HOSPITAL CHAN HSU FONG LAM KINDERGARTEN,Kwun Tong,Joining,Y,"UNIT 204, KWONG TIN SHOPPING CENTRE, KWONG TIN ESTATE, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2349 1588,2349 1374,https://kindergarten.pokoi.org.hk/CHFL/tc/,97,50,9,22.30291621,114.2394123
K_089,564389,1,SISTERS OF THE IMMACULATE HEART OF MARY GOSPEL SAU MAU PING KINDERGARTEN,Kwun Tong,Joining,N,"G/F, WING B & C, SAU YUE HOUSE, SAU MAU PING ESTATE, KOWLOON",Non-profit-making,Co-educational,2346 0072,2709 9269,http://smp.sihm.org.hk/,94,93,10,22.31806271,114.2334596
K_090,564486,1,SHUN TIN RHENISH NURSERY,Kwun Tong,Joining,N,"ROOM 19-31, BLOCK LOW TIN WAN HOUSE, SHUN TIN ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2790 2765,2950 9527,http://stc.ppe.rhenish.org,96,94,25,22.32572245,114.2280465
K_091,564575,1,LUTHERAN PHILIP HOUSE KAI YIP NURSERY SCHOOL,Kwun Tong,Joining,N,"UNIT 15-18 & 24-27, G/F KAI NING HOUSE, KAI YIP ESTATE, KOWLOON BAY, KOWLOON",Non-profit-making,Co-educational,2757 9529,2754 4137,http://www.lphccs.edu.hk,87,57,9,22.36648547,114.1747772
K_092,564656,1,CHRISTIAN FAMILY SERVICE CENTRE TAK TIN KINDERGARTEN,Kwun Tong,Joining,N,"TOP/F, CARPARK BLOCK, HONG NGA COURT, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2775 2881,2348 3124,https://taktin.cfsc.edu.hk/,87,45,16,22.30634816,114.2385792
K_093,564664,1,CHRISTIAN FAMILY SERVICE CENTRE CHEERLAND KINDERGARTEN,Kwun Tong,Joining,Y,"3/F, 3 TSUI PING ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2389 3363,2389 7213,https://cheerland.cfsc.edu.hk/,103,103,22,22.31173379,114.2289052
K_094,564834,1,ELCHK LING ON NURSERY SCHOOL,Kwun Tong,Joining,N,"5/F, LAM TIN (WEST) ESTATE COMMUNITY CENTRE, 71 KAI TIN ROAD, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2775 6767,2349 4817,http://lons.elchk.org.hk/,84,49,8,22.30894169,114.2337956
K_095,565210,1,HKSPC MR & MRS THOMAS TAM NURSERY SCHOOL,Kwun Tong,Joining,N,"3/F, SAI CHO WAN NEIGHBOURHOOD COMMUNITY CENTRE, CHA KWO LING ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2347 9286,2349 7393,https://ns.hkspc.org/mmtt/,105,79,11,22.30739905,114.2290492
K_096,565369,1,GARDEN ESTATE BAPTIST NURSERY SCHOOL,Kwun Tong,Joining,N,"LOTUS TOWER 2, 2/F, ROOM 37 GARDEN ESTATE, 297 NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2345 4340,2345 2713,http://www.gebns.edu.hk,91,78,14,22.31556536,114.2200744
K_097,565415,1,HONG KONG CHRISTIAN SERVICE KWUN TONG NURSERY SCHOOL,Kwun Tong,Joining,N,"4/F & ROOF PLAYGROUND, KWUN TONG COMMUNITY CENTRE, 17 TSUI PING ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2389 1866,2345 3525,http://ktns.hkcschild.edu.hk/,178,164,31,22.31296173,114.2295753
K_098,565946,1,BUDDHIST CHI WAI DAY NURSERY,Kwun Tong,Joining,N,"ROOM 3, G/F, HON CHUNG HOUSE, WAN HON ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2345 6832,2389 5190,http://www.hkbuddhist.org/bcwdn,111,96,20,22.31830972,114.2234626
K_099,565962,1,CARITAS NURSERY SCHOOL - LEI YUE MUN,Kwun Tong,Joining,N,"G/F, WING B & C, LEI SANG HOUSE, LEI YUE MUN ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2246 5002,2246 5001,http://lymns.caritas.org.hk,87,51,13,22.29441796,114.2405439
K_100,566004,1,CARITAS NURSERY SCHOOL - YAU TONG,Kwun Tong,Joining,N,"LEVEL 2, 60 LEI YUE MUN ROAD, YAU TONG, KOWLOON",Non-profit-making,Co-educational,2717 1098,2717 1094,http://ytns.caritas.org.hk/,107,89,19,22.29887086,114.2384594
K_101,566071,1,CREATIVE DAY NURSERY (SCENEWAY),Kwun Tong,Joining,Y,"1/F, SCENEWAY GARDEN, SIN FAT ROAD, LAM TIN, KOWLOON",Non-profit-making,Co-educational,2717 8811,2717 9048,http://www.creative.edu.hk,312,208,97,22.30591656,114.2334547
K_102,566160,1,HONG KONG STUDENT AID SOCIETY PO TAT NURSERY,Kwun Tong,Joining,N,"G/F, TAT YAN HOUSE, WING B & C, PO TAT ESTATE, SAU MAU PING, KOWLOON",Non-profit-making,Co-educational,2997 4601,2997 4609,http://www.potat-nursery.edu.hk,76,39,24,22.31770847,114.2390597
K_103,566683,1,POK OI HOSPITAL SY SIOK CHUN KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, TSUI MEI HOUSE, TSUI PING ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2772 0811,2772 0331,https://kindergarten.pokoi.org.hk/SSC/tc/,95,51,8,22.31716998,114.2296158
K_104,566950,1,UNITED CHRISTIAN MEDICAL SERVICE NURSERY SCHOOL,Kwun Tong,Joining,Y,"1/F, BLOCK J (CHEN KOU BUN BUILDING), UNITED CHRISTIAN HOSPITAL, 130 HIP WO STREET, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2347 2286,2348 6740,http://ucmsns.hkcschild.edu.hk/,52,50,7,22.32338359,114.2278516
K_105,577987,1,CHRISTIAN LITTLE TREE KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, YING LOK HOUSE, CHOI YING ESTATE, NGAU TAU KOK, KOWLOON",Non-profit-making,Co-educational,3695 0118,3695 0119,http://www.littletree.edu.hk,142,100,0,22.32765848,114.215487
K_106,594130,1,THE HONG KONG FEDERATION OF YOUTH GROUPS KK CHENG KINDERGARTEN,Kwun Tong,Joining,Y,"SHOP 1, CHOI SHING HOUSE, CHOI TAK ESTATE, 8 CHOI HING ROAD, NGAU TAU KOK, KOWLOON",Non-profit-making,Co-educational,2385 2622,2385 3326,http://kkc.hkfyg.org.hk,122,109,0,22.33025076,114.213294
K_107,595365,1,THE SALVATION ARMY CENTALINE CHARITY FUND YAU TONG KINDERGARTEN,Kwun Tong,Joining,Y,"LEVEL 4, CARPARK BLOCK, YAU LAI ESTATE, YAU TONG, KOWLOON",Non-profit-making,Co-educational,2884 3830,2884 3855,http://www.salvationarmy.org.hk/esd/ccfytkg/,118,67,0,22.30104864,114.2346464
K_108,595837,1,CHRISTIAN YOUTH CENTRE KINDERGARTEN (YAU TONG),Kwun Tong,Joining,N,"3/F, PHASE 5 YAU TONG ESTATE, KOWLOON",Non-profit-making,Co-educational,2348 9699,2348 9711,http://www.cyckg.edu.hk,225,140,6,22.29886178,114.2385759
K_109,604259,1,PO LEUNG KUK LEE SHU FOOK KINDERGARTEN,Kwun Tong,Joining,Y,"SHOP 2, G/F, ON CHUNG HOUSE, AND SHOP 2 G/F AND 1/F, COMMERCIAL BLOCK, 1 SHUN ON ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2386 6983,2386 4718,https://www.plkkgs.edu.hk/plklsfkg/en,364,288,7,22.32929907,114.2264171
K_110,605530,1,TWGHS LUCINA LAAM HO KINDERGARTEN,Kwun Tong,Joining,Y,"UPPER GROUND FLOOR, ON TAT SHOPPING CENTRE, ON TAT ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2976 9935,2976 9813,www.lucina-kindergarten.edu.hk,245,240,0,22.32074451,114.2342857
K_111,605662,1,HONG KONG CHRISTIAN SERVICE PARIO KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, KWAI WAH HOUSE, LOWER NGAU TAU KOK ESTATE, KOWLOON",Non-profit-making,Co-educational,2323 1215,2323 5253,https://pokg.hkcschild.edu.hk/,224,165,0,22.32323344,114.215709
K_112,607886,1,S.K.H. KINDLY LIGHT CHURCH HOLY CARPENTER KINDERGARTEN (BRANCH),Kwun Tong,Joining,Y,"KINDERGARTEN 02, 7/F, HONG PAK COURT CARPARK BLOCK, HONG PAK COURT, 139 PIK WAN ROAD, LAM TIN, KOWLOON",Non-profit-making,Co-educational,"2347 7988, 2347 7322",2347 7908,http://br.skhklchc.edu.hk,190,173,0,22.30280809,114.2387523
K_113,610291,1,CHRISTIAN FAMILY SERVICE CENTRE YEOH CHOY WAI HAAN MEMORIAL KINDERGARTEN,Kwun Tong,Joining,Y,"G/F, BETWEEN HIM TAT HOUSE & CHING TAT HOUSE, ON TAT ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2507 4811,3913 7120,https://ycwh.cfsc.edu.hk,132,132,0,22.32024699,114.2365955
K_114,613509,1,LIGHT AND LOVE HOME HAPPY KINDERGARTEN (ON TAI),Kwun Tong,Joining,Y,"UG/F, KING TAI HOUSE, ON TAI ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2368 5077,2368 5733,https://www.llhhk.edu.hk,137,108,0,22.32718539,114.2281053
K_115,614114,1,CHRISTIAN & MISSIONARY ALLIANCE ON TAI KINDERGARTEN,Kwun Tong,Joining,Y,"UG/F, WO TAI HOUSE, ON TAI ESTATE, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2619 9393,2619 9377,http://www.cmaontaikg.edu.hk,176,107,0,22.32808845,114.2281056
K_116,132152,1,THE CHURCH OF CHRIST IN CHINA HEEP WOH KINDERGARTEN,Sham Shui Po,Joining,Y,"231 SAI YEUNG CHOI STREET, KOWLOON",Non-profit-making,Co-educational,2777 9618,2778 5426,http://heepwohkg.edu.hk,266,154,0,22.32810532,114.1675949
K_117,133850,1,YAU YAT CHUEN SCHOOL,Sham Shui Po,Joining,Y,"2 MARIGOLD ROAD AND NEW BLOCK, YAU YAT CHUEN, KOWLOON",Non-profit-making,Co-educational,2381 2949,2380 5111,http://www.yycskg.edu.hk,1232,890,0,22.32789783,114.1726714
K_118,216208,"1,2",DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN,Sham Shui Po,Joining,Y,"1/F 84-86 BROADWAY STREET AND SHOP 138 STAGE 8, MEI FOO SUN CHUEN, KOWLOON",Non-profit-making,Co-educational,"2742 2027, 2744 3960",2744 1367,http://www.deliakg.edu.hk,289,220,0,22.33496508,114.1419872
K_119,317403,2,SHAM SHUI PO BAPTIST CHURCH KINDERGARTEN,Sham Shui Po,Joining,N,"1/F, 4 KWONG LEE ROAD, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2720 1173,2720 6400,http://www.sspbck.edu.hk,174,133,0,22.3403591,114.159003
K_120,319511,1,THE CHURCH OF CHRIST IN CHINA SHUM OI CHURCH KINDERGARTEN,Sham Shui Po,Joining,Y,"G/F, 80 WOH CHAI STREET, SHEK KIP MEI, KOWLOON",Non-profit-making,Co-educational,2777 0986,2890 8333,http://www.sockg.edu.hk,113,86,0,22.33203365,114.16808
K_121,323080,1,N-M-S' LUTHERAN KINDERGARTEN,Sham Shui Po,Joining,Y,"36 GRANDEUR ROAD, YAU YAT TSUEN, KOWLOON",Non-profit-making,Co-educational,"2778 0734, 2777 9207",2776 0254,http://www.nmslkg.edu.hk,193,141,0,22.33429151,114.1739914
K_122,323357,1,ST. THOMAS' CHURCH KINDERGARTEN,Sham Shui Po,Joining,Y,"RM. 101-116, BLOCK 24, LOWER SHEK KIP MEI ESTATE, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2779 4201,2784 6613,http://www.stckg.edu.hk,191,162,0,22.3332165,114.1654396
K_123,323683,1,SUEN MEI KINDERGARTEN,Sham Shui Po,Joining,N,"PORTION OF 2/F MEI FOO SUN CHUEN 79 BROADWAY STREET, KOWLOON",Non-profit-making,Co-educational,2742 4925,2310 8607,http://www.smkg.edu.hk,219,117,33,22.33628334,114.1410356
K_124,324159,1,GUIDEPOSTS KINDERGARTEN,Sham Shui Po,Joining,N,"5B, MOUNT STERLING MALL, MEI FOO SUN CHUEN, LOWER PODIUM FLOOR, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2743 2800,2785 4364,http://www.guideposts.edu.hk,334,187,0,22.33764653,114.1391812
K_125,324264,4,WESTERN PACIFIC KINDERGARTEN,Sham Shui Po,Joining,Y,"STAIRS & LIFT ON G/F & SHOP 2, 1/F FLAT ROOF ON FIRST & SECOND FLOOR PARK ONE, 1 NAM CHEONG STREET, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2367 6144,2311 4681,http://www.wpk.edu.hk,199,186,0,22.31284366,114.1682656
K_126,324787,1,BUDDHIST TSANG KOR SING ANGLO-CHINESE KINDERGARTEN,Sham Shui Po,Joining,Y,"301-313, 3/F, LAI HUEN HOUSE, LAI KOK ESTATE, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,"2361 1267, 2361 1268",2387 9041,http://www.tsangkorsing.edu.hk,145,124,0,22.33236668,114.1559852
K_127,324795,1,THE CHURCH OF CHRIST IN CHINA KEI CHUN KINDERGARTEN,Sham Shui Po,Joining,Y,"UNIT 114-127, G/F LAI LO HOUSE, LAI KOK ESTATE, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2361 8246,2748 7036,http://kck.ccc.edu.hk,153,139,0,22.3317437,114.1570142
K_128,325252,1,SHENG KUNG HUI SHAM SHUI PO KEI OI CHURCH KINDERGARTEN,Sham Shui Po,Joining,Y,"BLOCK 1, CHUNG HOU HOUSE, LI CHENG UK ESTATE, SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2361 2184,2361 8758,http://www.skhkock.edu.hk,246,91,0,22.33886912,114.1596148
K_129,325635,1,EVANGELICAL LUTHERAN CHURCH OF HONG KONG NAM CHEONG KINDERGARTEN,Sham Shui Po,Joining,Y,"OUTDOOR PLAY AREA, KG01 G/F & CHEONG CHUNG HOUSE, (BLOCK 1) NAM CHEONG ESTATE, SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2725 8913,2728 5387,https://www.elchkkg.edu.hk/nam-cheong/,145,83,0,22.32584689,114.1584128
K_130,325830,1,SHAM SHUI PO TAK SHIN KINDERGARTEN,Sham Shui Po,Joining,Y,"1/F, 200 TUNG CHAU STREET, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2728 3997,2708 3872,http://www.ssptakshin.edu.hk,66,45,0,22.32659664,114.160354
K_131,325953,1,HONG KONG Y.W.C.A ATHENA KINDERGARTEN,Sham Shui Po,Joining,Y,"UNIT 1-8, G/F, HAN CHING HOUSE, YEE CHING COURT SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2728 1122,2728 1214,http://kga.ywca.org.hk/,231,185,0,22.3321774,114.159004
K_132,514659,1,TSUNG TSIN PRIMARY SCHOOL AND KINDERGARTEN (LOCAL STREAM),Sham Shui Po,Joining,Y,"58 TAI PO ROAD, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2777 3679,2777 7256,http://www.ttpskg.edu.hk/,750,732,0,22.32908063,114.1677307
K_133,517712,1,JAMES ANGLO-CHINESE KINDERGARTEN (SHAM SHUI PO),Sham Shui Po,Joining,N,"G/F, CRONIN GARDEN, 16 SHUN NING ROAD, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2386 8877,2387 0789,http://www.jameskg.edu.hk,129,112,18,22.33513069,114.1618673
K_134,532550,1,CHE LOK KINDERGARTEN,Sham Shui Po,Joining,Y,"SHOP A B & C, 1/F SIU CHEONG BUILDING, 72 NAM CHEONG STREET, SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2191 5488,2665 3922,https://www.chelok.edu.hk/,166,180,0,22.32765341,114.1624019
K_135,532550,2,CHE LOK KINDERGARTEN,Sham Shui Po,Joining,Y,"G/F, 221 TAI NAN STREET, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2191 5488,2665 3922,https://www.chelok.edu.hk/,36,36,0,22.32765341,114.1624019
K_136,532800,1,CHRISTIAN ALLIANCE LOUEY CHOY KWAN LOK KINDERGARTEN,Sham Shui Po,Joining,Y,"G/F, UN SHING HOUSE, UN CHAU ESTATE, SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2720 4718,2720 4382,http://www.calcklkg.edu.hk,208,190,0,22.3372882,114.1548584
K_137,536482,1,TSUNG TSIN MISSION PAK TIN GRACEFUL KINDERGARTEN,Sham Shui Po,Joining,Y,"G/F, SHING TIN HOUSE, PAK TIN ESTATE, SHEK KIP MEI, KOWLOON",Non-profit-making,Co-educational,3152 2533,3152 2643,http://www.ptgraceful.edu.hk,199,163,0,22.33611546,114.1677691
K_138,548723,1,PO LEUNG KUK LAU CHAN SIU PO KINDERGARTEN,Sham Shui Po,Joining,Y,"PODIUM LEVEL, FU YUN HOUSE, (BLOCK 16) FU CHEONG ESTATE, CHEUNG SHA WAN, KOWLOON",Non-profit-making,Co-educational,2267 4531,2267 4532,https://www.plkkgs.edu.hk/plklcspkg,224,190,0,22.32730042,114.1552288
K_139,563170,1,THE SALVATION ARMY PAK TIN NURSERY SCHOOL,Sham Shui Po,Joining,N,"G/F, WING C, FU TIN HOUSE, PAK TIN ESTATE, PAK WAN STREET, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2778 3588,2778 9622,http://www.salvationarmy.org.hk/esd/ptnsc/,83,81,20,22.33717209,114.1689048
K_140,564044,1,PRECIOUS BLOOD KINDERGARTEN (SHAM SHUI PO),Sham Shui Po,Joining,N,"123 UN CHAU STREET, SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2386 2586,2386 7912,http://www.pbn.edu.hk,194,155,31,22.33318911,114.1618286
K_141,564443,1,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION SHIU PONG NURSERY SCHOOL,Sham Shui Po,Joining,N,"G/F, 66 BEGONIA ROAD, YAU YAT CHUEN, KOWLOON",Non-profit-making,Co-educational,3443 1678,3443 1670,http://nssp.ywca.org.hk,85,42,7,22.33125718,114.1718851
K_142,564478,1,HKSPC CHEUNG SHA WAN NURSERY SCHOOL,Sham Shui Po,Joining,Y,"5/F & ROOF PLAYGROUND, CHEUNG SHA WAN COMMUNITY CENTRE, 55 FAT TSEUNG STREET, CHEUNG SHA WAN, KOWLOON",Non-profit-making,Co-educational,2361 5516,2361 7591,https://ns.hkspc.org/csw/,95,85,22,22.34002496,114.1588866
K_143,564516,1,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHIU OI WAH NURSERY SCHOOL,Sham Shui Po,Joining,N,"G/F, WING B & C, UN FUNG HOUSE, UN CHAU ESTATE, SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2386 6339,2194 8892,http://nscow.ywca.org.hk,84,83,16,22.3376585,114.1552272
K_144,564729,1,HONG KONG SHENG KUNG HUI KEI OI NURSERY SCHOOL,Sham Shui Po,Joining,N,"ROOM 103-116 &118, G/F, LAI KUK HOUSE, LAI KOK ESTATE, SHAM SHUI PO, KOWLOON",Non-profit-making,Co-educational,2729 7991,2708 9298,http://www.kons.edu.hk,89,76,9,22.33147287,114.157752
K_145,565245,1,CHEUNG SHA WAN KAI FONG WELFARE ASSOCIATION LAM TAM YIN WAH KINDERGARTEN,Sham Shui Po,Joining,N,"FLAT 310-316, 3/F, LAI KWAI HOUSE, LAI KOK ESTATE, CHEUNG SHA WAN, KOWLOON",Non-profit-making,Co-educational,2386 2826,2307 9752,http://www.lamtyw.edu.hk,89,66,17,22.33325159,114.155325
K_146,565393,1,HONG KONG CHRISTIAN SERVICE TAI HANG TUNG NURSERY SCHOOL,Sham Shui Po,Joining,N,"4/F & ROOF PLAYGROUND, TAI HANG TUNG COMMUNITY CENTRE, 17 TONG YAM STREET, TAI HANG TUNG, KOWLOON",Non-profit-making,Co-educational,2777 8020,2776 0854,http://hkcschild.edu.hk/thtns/,161,149,35,22.33026376,114.170167
K_147,565407,1,HONG KONG CHRISTIAN SERVICE LEI CHENG UK NURSERY SCHOOL,Sham Shui Po,Joining,Y,"NO. 316, PODIUM LEVEL, SHUN YEE HOUSE, LEI CHENG UK ESTATE, SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,2361 2355,2374 6101,http://hkcschild.edu.hk/lcuns/,146,136,20,22.33816467,114.1589936
K_148,565563,1,BAPTIST OI KWAN SOCIAL SERVICE PUI YAN PRE-PRIMARY SCHOOL,Sham Shui Po,Joining,N,"G/F, 1 FORTUNE STREET, CHEUNG SHA WAN, KOWLOON",Non-profit-making,Co-educational,2360 0999,2360 0844,http://pypps.bokss.org.hk,133,133,20,22.33460598,114.1538881
K_149,566560,1,PENTECOSTAL CHURCH OF HONG KONG NAM CHEONG NURSERY SCHOOL,Sham Shui Po,Joining,Y,"5/F, NAM CHEONG COMMUNITY CENTRE, NAM CHEONG ESTATE SHAMSHUIPO, KOWLOON",Non-profit-making,Co-educational,"2725 9292, 2386 6264",2386 6284,http://namcheongns.pchk.org.hk,100,98,13,22.32699367,114.1574517
