School_Code,Name_of_School,學校名稱,學校地址_School_Address_電話號碼_Telephone_No_,學校類別_School_Type,資助類別_Finance_Type,宗教_Religion,中一自行分配學位數目_No__of_S1_DP,估算区内学额,地区,latitude,longitude
183,CCC MING KEI COLLEGE,中華基督教會銘基書院,"九龍大角咀橡樹街１６號
16 OAK STREET, TAI KOK TSUI, KLN
2392 3963","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.31896613,114.1641305
181,ELCHK LUTHERAN SECONDARY SCHOOL,基督教香港信義會信義中學,"九龍窩打老道５２號 52 WATERLOO ROAD, KLN
2780 2291","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.31316892,114.1720992
177,HK & KLN CHIU CHOW PUBLIC ASSOCIATION SECONDARY SCHOOL,港九潮州公會中學,"九龍旺角洗衣街１５０號
150 SAI YEE STREET, MONGKOK, KLN
2396 4187","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.32202791,114.1713516
179,LAI CHACK MIDDLE SCHOOL,麗澤中學,"九龍尖沙咀廣東道１８０號 180 CANTON ROAD, TSIMSHATSUI, KLN
2721 3086","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,30,70,九龍,22.30150122,114.1683051
180,LKWFSL LAU WONG FAT SECONDARY SCHOOL,世界龍岡學校劉皇發中學,"九龍大角咀詩歌舞街６６號 66 SYCAMORE STREET, TAI KOK TSUI, KLN
2394 4186","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.32572089,114.1626642
182,METHODIST COLLEGE,循道中學,"九龍油麻地加士居道５０號
50 GASCOIGNE ROAD, YAUMATEI, KLN
2384 3543","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.30910514,114.1719441
184,NEWMAN CATHOLIC COLLEGE,天主教新民書院,"九龍油麻地石壁道２號 2 CLIFF ROAD, YAUMATEI, KLN
2385 7812","男女
CO-EDUCATIONAL","資助
AIDED","天主教
CATHOLICISM",40,93,九龍,22.31069453,114.1719052
185,QUEEN ELIZABETH SCHOOL,伊利沙伯中學,"九龍旺角洗衣街１５２號 152 SAI YEE STREET, MONGKOK, KLN
2380 9621","男女
CO-EDUCATIONAL","官立
GOVERNMENT","--
--",43,100,九龍,22.32393336,114.1712933
515,SIR ELLIS KADOORIE SECONDARY SCHOOL (WEST KLN),官立嘉道理爵士中學(西九龍),"西九龍大角咀海帆道２２號
22 HOI FAN ROAD, TAI KOK TSUI, WEST KOWLOON
2576 1871","男女
CO-EDUCATIONAL","官立
GOVERNMENT","--
--",31,72,九龍,22.32254134,114.1554819
186,SKH ALL SAINTS' MIDDLE SCHOOL,聖公會諸聖中學,"九龍旺角白布街１１號 11 PAK PO STREET, MONGKOK, KLN
2780 0147","男女
CO-EDUCATIONAL","按位津貼
CAPUT",基督教 PROTESTANTISM / CHRISTIANITY,30,70,九龍,22.31724174,114.1730697
187,ST FRANCIS XAVIER'S COLLEGE,聖芳濟書院,"九龍大角咀詩歌舞街４５號 45 SYCAMORE STREET, TAI KOK TSUI, KLN
2393 2271","男
BOYS","資助
AIDED","天主教
CATHOLICISM",40,93,九龍,22.32543197,114.1632854
189,ST MARY'S CANOSSIAN COLLEGE,嘉諾撒聖瑪利書院,"九龍柯士甸道１６２號
162  AUSTIN ROAD, KLN 2724 2771","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",17,40,九龍,22.30309083,114.1761562
190,TRUE LIGHT GIRLS' COLLEGE,真光女書院,"九龍窩打老道５４號Ａ
54A WATERLOO ROAD, KLN
2385 1491","女
GIRLS","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.31372884,114.172963
191,"WAH YAN COLLEGE, KOWLOON",華仁書院(九龍),"九龍窩打老道５６號
56 WATERLOO ROAD, KLN
2384 1038","男
BOYS","資助
AIDED","天主教
CATHOLICISM",50,117,九龍,22.31464996,114.173225
192,BUDDHIST TAI HUNG COLLEGE,佛教大雄中學,"九龍深水埗蘇屋長發街３８號 38 CHEUNG FAT STREET, SO UK, SHAMSHUIPO, KLN
2386 2988","男女
CO-EDUCATIONAL","資助
AIDED","佛教
BUDDHISM",40,93,九龍,22.34010615,114.1581876
204,CCC MING YIN COLLEGE,中華基督教會銘賢書院,"九龍石硤尾偉智街１號 1 WAI CHI STREET, SHEK KIP MEI, KLN
2778 4512","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,41,96,九龍,22.33184404,114.168575
194,CHEUNG SHA WAN CATHOLIC SECONDARY SCHOOL,長沙灣天主教英文中學,"九龍長沙灣福榮街５３３號 533 FUK WING STREET, CHEUNG SHA WAN, KLN
2741 5034","男
BOYS","資助
AIDED","天主教
CATHOLICISM",43,100,九龍,22.33857041,114.1539069
196,CMA SECONDARY SCHOOL,廠商會中學,"九龍白田南昌街２９８號 298 NAM CHEONG STREET, PAK TIN, KLN
2779 6851","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.33846349,114.1695065
197,CONCORDIA LUTHERAN SCHOOL,路德會協同中學,"九龍大坑東道１２號
12 TAI HANG TUNG ROAD, KLN
2380 8837","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.33063408,114.1722054
200,HKSYC&IA WONG TAI SHAN MEMORIAL COLLEGE,香港四邑商工總會黃棣珊紀念中學,"九龍深水埗石硤尾南昌街２５０號 250 NAM CHEONG STREET, SHEK KIP MEI,
SHAMSHUIPO, KLN
2778 8982","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.33466158,114.1685554
201,HOLY TRINITY COLLEGE,寶血會上智英文書院,"九龍石硤尾偉智街３號 3 WAI CHI STREET, SHEK KIP MEI, KLN
2779 3220","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",51,119,九龍,22.33237684,114.1684585
202,KOWLOON TECHNICAL SCHOOL,九龍工業學校,"九龍深水埗長沙灣道３３２－３３４號
332-334
CHEUNG SHA WAN ROAD, SHAMSHUIPO, KLN
2386 0737","男女
CO-EDUCATIONAL","官立
GOVERNMENT","--
--",40,93,九龍,22.33354103,114.1590912
203,MARYKNOLL FATHERS' SCHOOL,瑪利諾神父教會學校,"九龍大坑東桃源街２號 2 TO YUEN STREET, TAI HANG TUNG, KLN
2777 5117","男女
CO-EDUCATIONAL","資助
AIDED","天主教
CATHOLICISM",40,93,九龍,22.33393027,114.1733896
205,NAM WAH CATHOLIC SECONDARY SCHOOL,天主教南華中學,"九龍深水埗永明街５號 5 WING MING STREET, SHAMSHUIPO, KLN
2741 1174","男女
CO-EDUCATIONAL","資助
AIDED","天主教
CATHOLICISM",30,70,九龍,22.34063801,114.151237
206,OUR LADY OF THE ROSARY COLLEGE,聖母玫瑰書院,"九龍又一村玫瑰街２２號
22 ROSE STREET,
YAU YAT CHUEN, KLN 2380 6468","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",40,93,九龍,22.33295496,114.1727004
560,PO LEUNG KUK TONG NAI KAN JUNIOR SECONDARY COLLEGE,保良局唐乃勤初中書院,"九龍深水埗美荔道１１號 11 MEI LAI ROAD, SHAMSHUIPO, KLN
2194 5707","男女
CO-EDUCATIONAL","資助
AIDED","--
--",59,138,九龍,22.33908277,114.1408311
129,SKH ST MARY'S CHURCH MOK HING YIU COLLEGE,聖公會聖馬利亞堂莫慶堯中學,"九龍深水埗海麗街１號 1 HOI LAI STREET, SHAMSHUIPO, KLN
2577 9559","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.33134498,114.1478608
210,TACK CHING GIRLS' SECONDARY SCHOOL,德貞女子中學,"九龍深水埗興華街西９號
9 HING WAH STREET WEST, SHAMSHUIPO, KLN
2729 3211","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",51,119,九龍,22.33204964,114.1494331
211,TAK NGA SECONDARY SCHOOL,德雅中學,"九龍深水埗又一村達之路１８號
18 TAT CHEE AVENUE, YAU YAT CHUEN, SHAMSHUIPO, KLN
2381 4483, 2380 3788","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",40,93,九龍,22.33021873,114.1751854
209,TWGHS CHANG MING THIEN COLLEGE,東華三院張明添中學,"九龍深水埗南昌街３００號 300 NAM CHEONG STREET, SHAMSHUIPO, KLN
2779 2986","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.33865311,114.168992
213,UNITED CHRISTIAN COLLEGE,滙基書院,"九龍深水埗大坑東棠蔭街９及１１號
9 & 11 TONG YAM STREET, TAI HANG TUNG, SHAMSHUIPO, KLN
2777 8344","男女
CO-EDUCATIONAL","按位津貼
CAPUT",基督教 PROTESTANTISM / CHRISTIANITY,41,96,九龍,22.32957746,114.1706912
245,BISHOP HALL JUBILEE SCHOOL,何明華會督銀禧中學,"九龍九龍塘牛津道２號Ｃ 2C OXFORD ROAD, KOWLOON TONG, KLN
2336 3034","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,50,117,九龍,22.32975812,114.1811938
217,CARMEL SECONDARY SCHOOL,迦密中學,"九龍何文田忠孝街５５號
55 CHUNG HAU STREET, HOMANTIN, KLN
2714 9385","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.31016177,114.1796695
568,CCC KEI TO SECONDARY SCHOOL,中華基督教會基道中學,"九龍土瓜灣崇安街２８號
28 SUNG ON STREET, TOKWAWAN, KLN
2627 1028","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.31361092,114.1903942
218,CHAN SUI KI (LA SALLE) COLLEGE,陳瑞祺(喇沙)書院,"九龍何文田常和街４號
4 SHEUNG WO STREET, HOMANTIN, KLN
2711 8175","男
BOYS","資助
AIDED","天主教
CATHOLICISM",41,96,九龍,22.31946318,114.1834162
253,COGNITIO COLLEGE (KOWLOON),文理書院(九龍),"九龍九龍城沐虹街６號
6 MUK HUNG STREET, KOWLOON CITY, KLN
2323 1741","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.33351263,114.2040053
221,HOI PING CHAMBER OF COMMERCE SECONDARY SCHOOL,旅港開平商會中學,"九龍何文田石鼓街２２號
22 SHEK KU STREET, HOMANTIN, KLN
2712 3107","男女
CO-EDUCATIONAL","資助
AIDED","--
--",50,117,九龍,22.31958067,114.1806112
223,HOLY FAMILY CANOSSIAN COLLEGE,嘉諾撒聖家書院,"九龍九龍城延文禮士道３３號 33 INVERNESS ROAD, KOWLOON CITY, KLN
2337 9123","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",43,100,九龍,22.33430937,114.1854068
224,HOMANTIN GOVERNMENT SECONDARY SCHOOL,何文田官立中學,"九龍何文田巴富街８號
8 PERTH STREET, HOMANTIN, KLN
2711 2680","男女
CO-EDUCATIONAL","官立
GOVERNMENT","--
--",43,100,九龍,22.32106169,114.1803297
225,JOCKEY CLUB GOVERNMENT SECONDARY SCHOOL,賽馬會官立中學,"九龍九龍塘牛津道２號Ｂ 2B OXFORD ROAD, KOWLOON TONG, KLN
2336 6761","男女
CO-EDUCATIONAL","官立
GOVERNMENT","--
--",30,70,九龍,22.32931563,114.1811744
226,KOWLOON TONG SCHOOL (SECONDARY SECTION),九龍塘學校(中學部),"九龍九龍塘舒梨道１０號 10 SURREY LANE, KOWLOON TONG, KLN
2337 0680","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.32872869,114.1758455
227,KOWLOON TRUE LIGHT SCHOOL,九龍真光中學,"九龍沙福道真光里１號 1 TRUE LIGHT LANE, SUFFOLK ROAD, KLN
3655 0000","女
GIRLS","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.33836432,114.1755639
228,LA SALLE COLLEGE,喇沙書院,"九龍九龍城喇沙利道１８號 18 LA SALLE ROAD, KOWLOON CITY, KLN
2338 7171","男
BOYS","資助
AIDED","天主教
CATHOLICISM",76,177,九龍,22.32900855,114.1823198
229,MARYKNOLL CONVENT SCHOOL (SECONDARY SECTION),瑪利諾修院學校(中學部),"九龍九龍塘何東道５號 5 HO TUNG ROAD, KOWLOON TONG, KLN
2336 2378","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",54,126,九龍,22.32819586,114.1802717
230,MUNSANG COLLEGE,民生書院,"九龍九龍城東寶庭道８號 8 DUMBARTON ROAD, KOWLOON CITY, KLN
3655 3328","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,54,126,九龍,22.33228647,114.1862221
231,NEW ASIA MIDDLE SCHOOL,新亞中學,"九龍土瓜灣農圃道６號
6 FARM ROAD, TOKWAWAN, KLN
2711 2206","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.32084472,114.1861922
233,NOTRE DAME COLLEGE,獻主會聖母院書院,"九龍馬頭圍盛德街５１號 51 SHING TAK STREET, MA TAU WAI, KLN
2711 5291","男女
CO-EDUCATIONAL","資助
AIDED","天主教
CATHOLICISM",30,70,九龍,22.32452911,114.1876969
234,PENTECOSTAL SCHOOL,五旬節中學,"九龍何文田巴富街１４號
14 PERTH STREET, HOMANTIN, KLN
2713 2772","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.32126034,114.1812906
235,POOI TO MIDDLE SCHOOL,香港培道中學,"九龍九龍城延文禮士道２號 2 INVERNESS ROAD, KOWLOON CITY, KLN
2336 1706","女
GIRLS","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.33030881,114.1856978
237,RHENISH CHURCH PANG HOK- KO MEMORIAL COLLEGE,禮賢會彭學高紀念中學,"九龍九龍塘禧福道３０號 30 HEREFORD ROAD, KOWLOON TONG, KLN
2337 0283","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.33438172,114.183116
222,SKH HOLY CARPENTER SECONDARY SCHOOL,聖公會聖匠中學,"九龍紅磡大環道１０號 10 TAI WAN ROAD, HUNG HOM, KLN
2364 2730","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,30,70,九龍,22.30775927,114.1880353
238,SKH HOLY TRINITY CHURCH SECONDARY SCHOOL,聖公會聖三一堂中學,"九龍何文田孝民街２號 2 HAU MAN STREET, HOMANTIN, KLN
2714 4137","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.31064039,114.1798733
239,SKH TSOI KUNG PO SECONDARY SCHOOL,聖公會蔡功譜中學,"九龍何文田忠孝街１０１號
101 CHUNG HAU STREET, HOMANTIN, KLN
2760 0463","男女
CO-EDUCATIONAL","資助
AIDED",基督教 PROTESTANTISM / CHRISTIANITY,40,93,九龍,22.31504731,114.1803296
241,ST. TERESA SECONDARY SCHOOL,德蘭中學,"九龍何文田常盛街２１號
21 SHEUNG SHING STREET, HOMANTIN, KLN
2711 5202","女
GIRLS","資助
AIDED","天主教
CATHOLICISM",40,93,九龍,22.31884919,114.1805917
242,STFA SEAWARD WOO COLLEGE,順德聯誼總會胡兆熾中學,"九龍何文田巴富街２２號
22 PERTH STREET, HOMANTIN, KLN
2762 1183","男女
CO-EDUCATIONAL","資助
AIDED","--
--",40,93,九龍,22.32250653,114.1824166
244,TANG KING PO SCHOOL,鄧鏡波學校,"九龍天光道１６號
16 TIN KWONG ROAD, KLN
2712 5171","男
BOYS","資助
AIDED","天主教
CATHOLICISM",50,117,九龍,22.32041133,114.1846974
